Experiment,Treatment,Concentration,Sample,Distance,REGR,E1,E2,E3,C1,C2,C3,S
NREXP228,Control,0,1,0,0,-0.271541181,-0.466584861,-0.271541181,-0.415827682,-0.487305034,-0.415827682,-0.490551001
NREXP228,Control,0,1,0.5,0.332807556,-0.369496139,-0.650718317,-0.369496139,-0.583411153,-0.680700921,-0.583411153,-0.685474232
NREXP228,Control,0,1,1,0.332807556,-0.414279128,-0.744773575,-0.414279128,-0.665437095,-0.780077493,-0.665437095,-0.785741116
NREXP228,Control,0,1,1.5,0.332807556,-0.43769401,-0.794913145,-0.43769401,-0.708602517,-0.83306186,-0.708602517,-0.839179791
NREXP228,Control,0,1,2,0.332807556,-0.452445883,-0.826283355,-0.452445883,-0.735723578,-0.866206422,-0.735723578,-0.872609157
NREXP228,Control,0,1,2.5,0.385159898,-0.4675342,-0.854532535,-0.4675342,-0.761490329,-0.895873259,-0.761490329,-0.902511986
NREXP228,Control,0,1,3,0.385159898,-0.459091013,-0.836136312,-0.459091013,-0.745838935,-0.876432619,-0.745838935,-0.88291374
NREXP228,Control,0,1,3.5,0.385159898,-0.423777026,-0.761676728,-0.423777026,-0.681088361,-0.797763757,-0.681088361,-0.803553269
NREXP228,Control,0,1,4,0.15867903,-0.337551378,-0.594390775,-0.337551378,-0.530966877,-0.621797866,-0.530966877,-0.626176808
NREXP228,Control,0,1,4.5,0.15867903,-0.292836003,-0.499728948,-0.292836003,-0.448876408,-0.521784336,-0.448876408,-0.525295341
NREXP228,Control,0,1,5,0.15867903,-0.2606629,-0.430716129,-0.2606629,-0.38955231,-0.448863064,-0.38955231,-0.451761526
NREXP228,Control,0,1,5.5,0.15867903,-0.223855755,-0.3525983,-0.223855755,-0.321930649,-0.366329983,-0.321930649,-0.368519714
NREXP228,Control,0,1,6,0,-0.159303289,-0.226474268,-0.159303289,-0.209112661,-0.233621589,-0.209112661,-0.234747692
NREXP228,Control,0,1,6.5,0,-0.129639207,-0.163728263,-0.129639207,-0.154668682,-0.167328629,-0.154668682,-0.167878512
NREXP228,Control,0,1,7,0,-0.115437037,-0.133252634,-0.115437037,-0.128480159,-0.13512782,-0.128480159,-0.135408616
NREXP228,Control,0,1,7.5,0,-0.109140123,-0.119685873,-0.109140123,-0.116862077,-0.120795882,-0.116862077,-0.120961855
NREXP228,Control,0,1,8,0,-0.10753461,-0.116128781,-0.10753461,-0.11387633,-0.117039194,-0.11387633,-0.117179471
NREXP228,Control,0,1,8.5,0.013132334,-0.110155071,-0.120701743,-0.110155071,-0.118191355,-0.121826516,-0.118191355,-0.122005629
NREXP228,Control,0,1,9,0.013132334,-0.11042737,-0.121201293,-0.11042737,-0.118671276,-0.12235453,-0.118671276,-0.12254098
NREXP228,Control,0,1,9.5,0.013132334,-0.108820243,-0.11782453,-0.108820243,-0.115728619,-0.118787244,-0.115728619,-0.118942437
NREXP228,Control,0,1,10,0,-0.104184688,-0.108908292,-0.104184688,-0.107695778,-0.109411978,-0.107695778,-0.109492147
NREXP228,Control,0,1,10.5,0,-0.102067528,-0.104443438,-0.102067528,-0.103813301,-0.104694609,-0.103813301,-0.104733199
NREXP228,Control,0,1,11,0,-0.101033519,-0.102226075,-0.101033519,-0.101906754,-0.10235163,-0.101906754,-0.102370469
NREXP228,Control,0,1,11.5,0,-0.100529133,-0.101140334,-0.100529133,-0.100976237,-0.101204589,-0.100976237,-0.101214125
NREXP228,Control,0,1,12,0,-0.100294729,-0.100635267,-0.100294729,-0.10054377,-0.100671051,-0.10054377,-0.100676338
NREXP228,Control,0,1,12.5,0,-0.100210556,-0.100453857,-0.100210556,-0.100388473,-0.10047942,-0.100388473,-0.100483191
NREXP228,Control,0,1,13,0,-0.100233685,-0.100503714,-0.100233685,-0.100431145,-0.100532085,-0.100431145,-0.100536269
NREXP228,Control,0,1,13.5,0,-0.100375896,-0.100810252,-0.100375896,-0.100693521,-0.100855887,-0.100693521,-0.100862619
NREXP228,Control,0,1,14,0,-0.100709659,-0.101529669,-0.100709659,-0.10130931,-0.101615827,-0.10130931,-0.101628543
NREXP228,Control,0,1,14.5,0,-0.101405083,-0.103028522,-0.101405083,-0.102592356,-0.10319912,-0.102592356,-0.10322434
NREXP228,Control,0,1,15,0,-0.102816763,-0.10607029,-0.102816763,-0.105196858,-0.10641235,-0.105196858,-0.106463144
NREXP228,Control,0,1,15.5,0,-0.105665827,-0.112202925,-0.105665827,-0.110452947,-0.112891252,-0.110452947,-0.112994645
NREXP228,Control,0,1,16,0,-0.111419354,-0.124537947,-0.111419354,-0.121061206,-0.125925262,-0.121061206,-0.126138877
NREXP228,Control,0,1,16.5,0,-0.123164321,-0.149279136,-0.123164321,-0.142592679,-0.152066019,-0.142592679,-0.152511322
NREXP228,Control,0,1,17,0.076527423,-0.148962527,-0.198618581,-0.148962527,-0.187161538,-0.203932892,-0.187161538,-0.204793636
NREXP228,Control,0,1,17.5,0.076527423,-0.155871204,-0.213000878,-0.155871204,-0.19977702,-0.21912719,-0.19977702,-0.220126076
NREXP228,Control,0,1,18,0.076527423,-0.149334144,-0.199419542,-0.149334144,-0.187847166,-0.204778975,-0.187847166,-0.205646397
NREXP228,Control,0,1,18.5,0,-0.124097025,-0.15128907,-0.124097025,-0.144313494,-0.154189224,-0.144313494,-0.154651373
NREXP228,Control,0,1,19,0,-0.113389255,-0.128780091,-0.113389255,-0.124695471,-0.13040675,-0.124695471,-0.130656418
NREXP228,Control,0,1,19.5,0,-0.10968378,-0.120832525,-0.10968378,-0.117862995,-0.122009012,-0.117862995,-0.122187999
NREXP228,Control,0,1,20,0,-0.111000621,-0.123445293,-0.111000621,-0.120236232,-0.124770287,-0.120236232,-0.124979557
NREXP228,Control,0,1,20.5,0.031574092,-0.118846846,-0.137796666,-0.118846846,-0.133465623,-0.139824655,-0.133465623,-0.140152603
NREXP228,Control,0,1,21,0.031574092,-0.118145538,-0.13628513,-0.118145538,-0.132171722,-0.138227965,-0.132171722,-0.138543304
NREXP228,Control,0,1,21.5,0,-0.108539105,-0.118140745,-0.108539105,-0.115694798,-0.119166807,-0.115694798,-0.119331646
NREXP228,Control,0,1,22,0,-0.104205701,-0.109034297,-0.104205701,-0.10775644,-0.109545249,-0.10775644,-0.109624205
NREXP228,Control,0,1,22.5,0,-0.102085823,-0.104492018,-0.102085823,-0.103848139,-0.104745435,-0.103848139,-0.104783564
NREXP228,Control,0,1,23,0,-0.101035873,-0.102232316,-0.101035873,-0.101911159,-0.102358113,-0.101911159,-0.102376805
NREXP228,Control,0,1,23.5,0,-0.100514605,-0.101109173,-0.100514605,-0.100949437,-0.101171655,-0.100949437,-0.101180894
NREXP228,Control,0,1,24,0,-0.100255671,-0.100551098,-0.100255671,-0.100471709,-0.100582138,-0.100471709,-0.10058672
NREXP228,Control,0,1,24.5,0,-0.100127036,-0.100273829,-0.100127036,-0.100234379,-0.100289251,-0.100234379,-0.100291527
NREXP228,Control,0,1,25,0,-0.100063137,-0.100136094,-0.100063137,-0.100116487,-0.100143759,-0.100116487,-0.10014489
NREXP228,Control,0,1,25.5,0,-0.100031412,-0.10006771,-0.100031412,-0.100057955,-0.100071524,-0.100057955,-0.100072086
NREXP228,Control,0,1,26,0,-0.100015694,-0.10003383,-0.100015694,-0.100028956,-0.100035735,-0.100028956,-0.100036016
NREXP228,Control,0,1,26.5,0,-0.100007974,-0.100017188,-0.100007974,-0.100014712,-0.100018156,-0.100014712,-0.100018299
NREXP228,Control,0,1,27,0,-0.100004317,-0.100009305,-0.100004317,-0.100007965,-0.100009829,-0.100007965,-0.100009907
NREXP228,Control,0,1,27.5,0,-0.10000286,-0.100006164,-0.10000286,-0.100005276,-0.100006511,-0.100005276,-0.100006562
NREXP228,Control,0,2,0,0,-0.139663836,-0.185017543,-0.139663836,-0.173079426,-0.189817119,-0.173079426,-0.190553978
NREXP228,Control,0,2,0.5,0.050050309,-0.161462703,-0.227936614,-0.161462703,-0.211321467,-0.234987649,-0.211321467,-0.23608251
