Experiment,Treatment,Concentration,Distance,1,2,3,4
NREXP228,Control,0,0,0,0,0,0
NREXP228,Control,0,2.03,0.3328075561,NA,NA,NA
NREXP228,Control,0,2.078,NA,NA,0.0409929106,NA
NREXP228,Control,0,2.216,NA,0.050050309,NA,NA
NREXP228,Control,0,2.336,NA,NA,NA,-0.0527278702
NREXP228,Control,0,3.091,NA,NA,0.5024639034,NA
NREXP228,Control,0,3.463,0.385159898,NA,NA,NA
NREXP228,Control,0,3.755,NA,NA,NA,0.7739146833
NREXP228,Control,0,3.758,NA,0.5214888656,NA,NA
NREXP228,Control,0,4.358,NA,NA,0.5972688905,NA
NREXP228,Control,0,4.673,NA,NA,NA,0.2816762838
NREXP228,Control,0,4.726,NA,0.0310531138,NA,NA
NREXP228,Control,0,5.474,NA,NA,0.0512787513,NA
NREXP228,Control,0,5.729,0.1586790302,NA,NA,NA
NREXP228,Control,0,5.889,NA,NA,NA,0.1565452891
NREXP228,Control,0,6.485,NA,0.3221752911,NA,NA
NREXP228,Control,0,6.59,NA,NA,0.1282338978,NA
NREXP228,Control,0,7.498,NA,-0.0079315391,NA,NA
NREXP228,Control,0,7.568,NA,NA,NA,0.0205808266
NREXP228,Control,0,7.873,-0.015184807,NA,NA,NA
NREXP228,Control,0,8.623,NA,NA,0.0075164457,NA
NREXP228,Control,0,8.664,NA,0.011102031,NA,NA
NREXP228,Control,0,9.384,0.0131323339,NA,NA,NA
NREXP228,Control,0,9.789,NA,0.0549050627,NA,NA
NREXP228,Control,0,9.803,NA,NA,NA,0.0165567847
NREXP228,Control,0,10.799,NA,0.0231780815,NA,NA
NREXP228,Control,0,10.802,NA,NA,0.0061806276,NA
NREXP228,Control,0,11.906,NA,-0.0247780293,NA,NA
NREXP228,Control,0,12.061,NA,NA,NA,0.0188041155
NREXP228,Control,0,12.552,NA,NA,-0.0148434685,NA
NREXP228,Control,0,13.039,NA,0.0275679868,NA,NA
NREXP228,Control,0,14.427,NA,NA,0.0093127651,NA
NREXP228,Control,0,14.508,NA,-0.0123159627,NA,NA
NREXP228,Control,0,15.035,NA,NA,NA,-0.0154066485
NREXP228,Control,0,15.684,NA,-0.0175126476,NA,NA
NREXP228,Control,0,15.698,NA,NA,0.0132107213,NA
NREXP228,Control,0,16.371,-0.004559071,NA,NA,NA
NREXP228,Control,0,16.559,NA,0.0081925685,NA,NA
NREXP228,Control,0,17.239,NA,NA,-0.0134660786,NA
NREXP228,Control,0,17.325,NA,0.1659650937,NA,NA
NREXP228,Control,0,17.401,NA,NA,NA,0.0201107918
NREXP228,Control,0,17.994,0.076527423,NA,NA,NA
NREXP228,Control,0,18.546,NA,-0.0575695102,NA,NA
NREXP228,Control,0,19.413,NA,-0.0012611405,NA,NA
NREXP228,Control,0,19.615,NA,NA,NA,-0.0179099648
NREXP228,Control,0,19.893,-0.0168888167,NA,NA,NA
NREXP228,Control,0,20.681,NA,-0.011762034,NA,NA
NREXP228,Control,0,21.036,0.0315740922,NA,NA,NA
NREXP228,Control,0,21.831,NA,NA,NA,0.0410857657
NREXP228,Control,0,22.354,NA,0.0004549609,NA,NA
NREXP228,Control,0,23.317,NA,0.023139188,NA,NA
NREXP228,Control,0,27.703,-0.0055780579,NA,NA,NA
NREXP228,DES,0.1,0,0,0,0,0
NREXP228,DES,0.1,0.667,NA,NA,0.4029597198,NA
NREXP228,DES,0.1,0.885,0.2952701938,NA,NA,NA
NREXP228,DES,0.1,1.125,NA,NA,NA,-0.0909484691
NREXP228,DES,0.1,1.293,NA,NA,0.1552365986,NA
NREXP228,DES,0.1,1.501,NA,0.2016233956,NA,NA
NREXP228,DES,0.1,1.748,-0.0728907717,NA,NA,NA
NREXP228,DES,0.1,1.938,NA,NA,NA,0.0445916029
NREXP228,DES,0.1,2.228,NA,NA,0.4580580481,NA
NREXP228,DES,0.1,2.447,NA,NA,NA,0.299425669
NREXP228,DES,0.1,2.573,0.7398740081,NA,NA,NA
NREXP228,DES,0.1,2.634,NA,0.4115365503,NA,NA
NREXP228,DES,0.1,2.838,NA,NA,0.43632727,NA
NREXP228,DES,0.1,3.143,NA,0.2476227331,NA,NA
NREXP228,DES,0.1,3.384,0.158779541,NA,NA,NA
NREXP228,DES,0.1,3.41,NA,NA,NA,0.3218103812
NREXP228,DES,0.1,3.945,NA,NA,0.190629425,NA
NREXP228,DES,0.1,3.977,0.1141418354,NA,NA,NA
NREXP228,DES,0.1,4.148,NA,NA,NA,0.9729511317
NREXP228,DES,0.1,4.226,NA,0.022970918,NA,NA
NREXP228,DES,0.1,4.462,NA,NA,0.0166097488,NA
NREXP228,DES,0.1,5.046,NA,NA,NA,-0.0353957729
NREXP228,DES,0.1,5.231,0.0324959139,NA,NA,NA
NREXP228,DES,0.1,5.24,NA,0.0393604325,NA,NA
NREXP228,DES,0.1,5.486,NA,NA,0.0280816341,NA
NREXP228,DES,0.1,5.737,-0.0326675464,NA,NA,NA
NREXP228,DES,0.1,6.057,NA,0.0550814619,NA,NA
NREXP228,DES,0.1,6.165,NA,NA,NA,-0.0290442771
NREXP228,DES,0.1,6.253,NA,NA,0.0549789818,NA
NREXP228,DES,0.1,6.756,0.0237408695,NA,NA,NA
NREXP228,DES,0.1,6.799,NA,NA,0.1004299386,NA
NREXP228,DES,0.1,6.831,NA,NA,NA,0.0599005922
NREXP228,DES,0.1,6.844,NA,-0.040654937,NA,NA
NREXP228,DES,0.1,7.164,0.2084227939,NA,NA,NA
NREXP228,DES,0.1,7.543,NA,NA,NA,-0.0538613291
NREXP228,DES,0.1,8.025,NA,NA,-0.039941074,NA
NREXP228,DES,0.1,8.431,-0.0864934605,NA,NA,NA
NREXP228,DES,0.1,8.558,NA,NA,NA,0.0290328772
NREXP228,DES,0.1,8.702,NA,0.0050913091,NA,NA
NREXP228,DES,0.1,8.926,NA,NA,NA,0.081211176
NREXP228,DES,0.1,9.527,NA,-0.039287319,NA,NA
NREXP228,DES,0.1,10.4,NA,NA,NA,-0.063900019
NREXP228,DES,0.1,10.433,NA,NA,0.0020637097,NA
NREXP228,DES,0.1,11.263,NA,NA,NA,0.1014653191
NREXP228,DES,0.1,11.608,NA,NA,0.012085932,NA
NREXP228,DES,0.1,11.974,NA,NA,NA,0.0109420326
