ID,Experiment,Treatment,Condition,Sample,Side,W_sum_4,W_percent_4,W_sum_end,W_percent_end,R_count,R_density,R_percent,R_length,W_mean_center
NREXP302_B73.Control.0.1,NREXP302_B73,Control,0,1,Block,-0.6107402916,0.1955089012,-0.8348503956,0.1868969935,35,7.608695652,0.5384615385,4.6,0.1702219662
NREXP302_B73.Control.0.1,NREXP302_B73,Control,0,1,Air_1,-0.9511842241,0.3044910988,-1.39860018,0.3131030065,0,0,0,4.6,-0.1702219662
NREXP302_B73.Control.0.1,NREXP302_B73,Control,0,1,Air_2,-0.9511842241,0.3044910988,-1.39860018,0.3131030065,0,0,0,4.6,-0.1702219662
NREXP302_B73.Control.0.1,NREXP302_B73,Control,0,1,Plate,-0.6107402916,0.1955089012,-0.8348503956,0.1868969935,30,6.52173913,0.4615384615,4.6,0.1702219662
NREXP302_B73.Control.0.2,NREXP302_B73,Control,0,2,Block,-0.4335905559,0.2131158958,-0.5394528849,0.1879835156,32,6.956521739,0.6037735849,4.6,0.0750417945
NREXP302_B73.Control.0.2,NREXP302_B73,Control,0,2,Air_1,-0.5836741448,0.2868841042,-0.8953880456,0.3120164844,0,0,0,4.6,-0.0750417945
NREXP302_B73.Control.0.2,NREXP302_B73,Control,0,2,Air_2,-0.5836741448,0.2868841042,-0.8953880456,0.3120164844,0,0,0,4.6,-0.0750417945
NREXP302_B73.Control.0.2,NREXP302_B73,Control,0,2,Plate,-0.4335905559,0.2131158958,-0.5394528849,0.1879835156,21,4.565217391,0.3962264151,4.6,0.0750417945
NREXP302_B73.Control.0.3,NREXP302_B73,Control,0,3,Block,-0.4949109489,0.205108785,-1.212991698,0.1752068522,22,4.4,0.4,5,0.1083188797
NREXP302_B73.Control.0.3,NREXP302_B73,Control,0,3,Air_1,-0.7115487083,0.294891215,-2.248607214,0.3247931478,0,0,0,5,-0.1083188797
NREXP302_B73.Control.0.3,NREXP302_B73,Control,0,3,Air_2,-0.7115487083,0.294891215,-2.248607214,0.3247931478,0,0,0,5,-0.1083188797
NREXP302_B73.Control.0.3,NREXP302_B73,Control,0,3,Plate,-0.4949109489,0.205108785,-1.212991698,0.1752068522,33,6.6,0.6,5,0.1083188797
NREXP302_B73.Control.0.4,NREXP302_B73,Control,0,4,Block,-1.222559835,0.178684189,-0.6328728924,0.2076652997,33,7.173913044,0.5,4.6,0.4879438226
NREXP302_B73.Control.0.4,NREXP302_B73,Control,0,4,Air_1,-2.198447481,0.321315811,-0.8909081466,0.2923347003,0,0,0,4.6,-0.4879438226
NREXP302_B73.Control.0.4,NREXP302_B73,Control,0,4,Air_2,-2.198447481,0.321315811,-0.8909081466,0.2923347003,0,0,0,4.6,-0.4879438226
NREXP302_B73.Control.0.4,NREXP302_B73,Control,0,4,Plate,-1.222559835,0.178684189,-0.6328728924,0.2076652997,33,7.173913044,0.5,4.6,0.4879438226
NREXP302_B73.Mannitol.160.1,NREXP302_B73,Mannitol,160,1,Block,-1.49889773,0.2969858902,-1.21310308,0.259355437,5,1.428571429,0.1351351351,3.5,-0.2371393608
NREXP302_B73.Mannitol.160.1,NREXP302_B73,Mannitol,160,1,Air_1,-1.391123746,0.2756319633,-1.369921765,0.2928824962,0,0,0,3.5,-0.1293653768
NREXP302_B73.Mannitol.160.1,NREXP302_B73,Mannitol,160,1,Air_2,-1.391123746,0.2756319633,-1.369921765,0.2928824962,0,0,0,3.5,-0.1293653768
NREXP302_B73.Mannitol.160.1,NREXP302_B73,Mannitol,160,1,Plate,-0.765888255,0.1517501832,-0.7244300962,0.1548795707,32,9.142857143,0.8648648649,3.5,0.4958701145
NREXP302_B73.Mannitol.160.2,NREXP302_B73,Mannitol,160,2,Block,-1.544813095,0.289610156,-1.581041112,0.2305374883,13,3.939393939,0.2888888889,3.3,-0.2112850202
NREXP302_B73.Mannitol.160.2,NREXP302_B73,Mannitol,160,2,Air_1,-1.488747793,0.2790994469,-2.092327951,0.3050901249,0,0,0,3.3,-0.1552197175
NREXP302_B73.Mannitol.160.2,NREXP302_B73,Mannitol,160,2,Air_2,-1.488747793,0.2790994469,-2.092327951,0.3050901249,0,0,0,3.3,-0.1552197175
NREXP302_B73.Mannitol.160.2,NREXP302_B73,Mannitol,160,2,Plate,-0.8118036199,0.1521909503,-1.092368129,0.159282262,32,9.696969697,0.7111111111,3.3,0.5217244551
NREXP302_B73.Mannitol.240.1,NREXP302_B73,Mannitol,240,1,Block,-2.002038833,0.3136027128,-1.82732049,0.2539097238,0,0,0,3,-0.4060395389
NREXP302_B73.Mannitol.240.1,NREXP302_B73,Mannitol,240,1,Air_1,-1.739716862,0.2725121603,-2.137550751,0.2970168198,0,0,0,3,-0.1437175676
NREXP302_B73.Mannitol.240.1,NREXP302_B73,Mannitol,240,1,Air_2,-1.739716862,0.2725121603,-2.137550751,0.2970168198,0,0,0,3,-0.1437175676
NREXP302_B73.Mannitol.240.1,NREXP302_B73,Mannitol,240,1,Plate,-0.9025246201,0.1413729667,-1.094311015,0.1520566365,28,9.333333333,1,3,0.6934746741
NREXP302_B73.Mannitol.240.2,NREXP302_B73,Mannitol,240,2,Block,-1.801531975,0.3518134036,-1.532783393,0.2819533551,0,0,0,3.2,-0.5213562081
NREXP302_B73.Mannitol.240.2,NREXP302_B73,Mannitol,240,2,Air_1,-1.308576665,0.2555462889,-1.551871998,0.2854646773,0,0,0,3.2,-0.0284008984
NREXP302_B73.Mannitol.240.2,NREXP302_B73,Mannitol,240,2,Air_2,-1.308576665,0.2555462889,-1.551871998,0.2854646773,0,0,0,3.2,-0.0284008984
NREXP302_B73.Mannitol.240.2,NREXP302_B73,Mannitol,240,2,Plate,-0.7020177616,0.1370940186,-0.7997739172,0.1471172903,21,6.5625,1,3.2,0.5781580049
NREXP302_B73.Mannitol.240.3,NREXP302_B73,Mannitol,240,3,Block,-1.804459273,0.3507209637,-1.265405839,0.3312846985,0,0,0,3.2,-0.5182093339
NREXP302_B73.Mannitol.240.3,NREXP302_B73,Mannitol,240,3,Air_1,-1.317797712,0.2561317345,-1.010945391,0.2646666618,0,0,0,3.2,-0.0315477726
NREXP302_B73.Mannitol.240.3,NREXP302_B73,Mannitol,240,3,Air_2,-1.317797712,0.2561317345,-1.010945391,0.2646666618,0,0,0,3.2,-0.0315477726
NREXP302_B73.Mannitol.240.3,NREXP302_B73,Mannitol,240,3,Plate,-0.70494506,0.1370155672,-0.5323963634,0.139381978,33,10.3125,1,3.2,0.581304879
NREXP302_B73.Mannitol.240.4,NREXP302_B73,Mannitol,240,4,Block,-1.82620783,0.3461641087,-1.555154014,0.2795937447,0,0,0,3.6,-0.5073190544
NREXP302_B73.Mannitol.240.4,NREXP302_B73,Mannitol,240,4,Air_1,-1.361326828,0.2580442818,-1.592446588,0.2862983992,0,0,0,3.6,-0.0424380521
NREXP302_B73.Mannitol.240.4,NREXP302_B73,Mannitol,240,4,Air_2,-1.361326828,0.2580442818,-1.592446588,0.2862983992,0,0,0,3.6,-0.0424380521
NREXP302_B73.Mannitol.240.4,NREXP302_B73,Mannitol,240,4,Plate,-0.726693617,0.1377473276,-0.8221445387,0.1478094569,23,6.388888889,1,3.6,0.5921951586
NREXP302_B73.Mannitol.80.1,NREXP302_B73,Mannitol,80,1,Block,-1.091428329,0.252398997,-1.384347914,0.2274685158,20,7.407407407,0.5263157895,2.7,-0.0103737864
NREXP302_B73.Mannitol.80.1,NREXP302_B73,Mannitol,80,1,Air_1,-1.253933126,0.2899791536,-1.841848462,0.3026425162,0,0,0,2.7,-0.1728785825
NREXP302_B73.Mannitol.80.1,NREXP302_B73,Mannitol,80,1,Air_2,-1.253933126,0.2899791536,-1.841848462,0.3026425162,0,0,0,2.7,-0.1728785825
NREXP302_B73.Mannitol.80.1,NREXP302_B73,Mannitol,80,1,Plate,-0.7249235918,0.1676426958,-1.017843177,0.1672464518,18,6.666666667,0.4736842105,2.7,0.3561309513
NREXP302_B73.Mannitol.80.2,NREXP302_B73,Mannitol,80,2,Block,-1.003087018,0.2662355557,-1.200562775,0.2424964485,22,6.470588235,0.4782608696,3.4,-0.0611701736
NREXP302_B73.Mannitol.80.2,NREXP302_B73,Mannitol,80,2,Air_1,-1.06399904,0.2824025937,-1.458113013,0.2945178997,0,0,0,3.4,-0.1220821952
NREXP302_B73.Mannitol.80.2,NREXP302_B73,Mannitol,80,2,Air_2,-1.06399904,0.2824025937,-1.458113013,0.2945178997,0,0,0,3.4,-0.1220821952
NREXP302_B73.Mannitol.80.2,NREXP302_B73,Mannitol,80,2,Plate,-0.6365822806,0.1689592569,-0.8340580378,0.1684677521,24,7.058823529,0.5217391304,3.4,0.305334564
NREXP302_Oh7B.Control.0.1,NREXP302_Oh7B,Control,0,1,Block,-1.248179506,0.1786592378,-0.9784798171,0.1825015896,37,7.115384615,0.4743589744,5.2,0.4984129477
NREXP302_Oh7B.Control.0.1,NREXP302_Oh7B,Control,0,1,Air_1,-2.245005402,0.3213407622,-1.702263455,0.3174984104,2.5,0.4807692308,0.0320512821,5.2,-0.4984129477
NREXP302_Oh7B.Control.0.1,NREXP302_Oh7B,Control,0,1,Air_2,-2.245005402,0.3213407622,-1.702263455,0.3174984104,2.5,0.4807692308,0.0320512821,5.2,-0.4984129477
