Experiment_ID,Treatment,Agar_1_PEG_(g/L),Sample_number,Side,Water_potential_absolute_(MPa),Water_potential_percent,Water_potential_mean_center,Lateral_root_count,Primary_root_length_(cm),Lateral_roots_per_cm_primary_root,Lateral_root_percent
NREXP318,Control,0,1,Block,-0.836578843,0.230780234,0.069671692,16,4.6,3.47826087,0.592592593
NREXP318,Control,0,1,Air_1,-0.975922227,0.269219766,-0.069671692,3,4.6,0.652173913,0.111111111
NREXP318,Control,0,1,Air_2,-0.975922227,0.269219766,-0.069671692,3,4.6,0.652173913,0.111111111
NREXP318,Control,0,1,Plate,-0.836578843,0.230780234,0.069671692,5,4.6,1.086956522,0.185185185
NREXP318,PEG,100,1,Block,-0.835189875,0.244762993,0.017869921,24,4.4,5.454545455,0.444444444
NREXP318,PEG,100,1,Air_1,-0.890400281,0.260943103,-0.037340485,0,4.4,0,0
NREXP318,PEG,100,1,Air_2,-0.890400281,0.260943103,-0.037340485,0,4.4,0,0
NREXP318,PEG,100,1,Plate,-0.796248747,0.233350801,0.056811049,30,4.4,6.818181818,0.555555556
NREXP318,PEG,200,1,Block,-1.091653403,0.27107029,-0.084854205,18,5.3,3.396226415,0.352941177
NREXP318,PEG,200,1,Air_1,-1.041822584,0.258696716,-0.035023386,0,5.3,0,0
NREXP318,PEG,200,1,Air_2,-1.041822584,0.258696716,-0.035023386,0,5.3,0,0
NREXP318,PEG,200,1,Plate,-0.851898221,0.211536278,0.154900977,33,5.3,6.226415094,0.647058824
NREXP318,PEG,300,1,Block,-1.594975098,0.297500945,-0.254664146,1,5.1,0.196078431,0.038461538
NREXP318,PEG,300,1,Air_1,-1.388013214,0.258897611,-0.047702262,0,5.1,0,0
NREXP318,PEG,300,1,Air_2,-1.388013214,0.258897611,-0.047702262,0,5.1,0,0
NREXP318,PEG,300,1,Plate,-0.990242281,0.184703833,0.350068671,25,5.1,4.901960784,0.961538462
NREXP318,PEG,400,1,Block,-2.529053829,0.332992794,-0.630323681,0,4.7,0,0
NREXP318,PEG,400,1,Air_1,-1.933459856,0.254572755,-0.034729708,0,4.7,0,0
NREXP318,PEG,400,1,Air_2,-1.933459856,0.254572755,-0.034729708,0,4.7,0,0
NREXP318,PEG,400,1,Plate,-1.198947053,0.157861697,0.699783096,24,4.7,5.106382979,1
NREXP318,PEG,500,1,Block,-4.512835839,0.356947061,-1.352117953,0,4.7,0,0
NREXP318,PEG,500,1,Air_1,-3.213152985,0.254147404,-0.052435099,0,4.7,0,0
NREXP318,PEG,500,1,Air_2,-3.213152985,0.254147404,-0.052435099,0,4.7,0,0
NREXP318,PEG,500,1,Plate,-1.703729735,0.134758131,1.456988151,27,4.7,5.744680851,1
NREXP318,Control,0,2,Block,-0.778434223,0.238910917,0.036131131,30,5.1,5.882352941,0.52631579
NREXP318,Control,0,2,Air_1,-0.850696485,0.261089083,-0.036131131,0.5,5.1,0.098039216,0.00877193
