"Distance (mm)","REGR (h^-1)","E1","E2","E3","C1","C2","C3","S"
0,0,-0.206853127258901,-0.349812510737961,-0.373434684004446,-0.295639737525083,-0.3576639093038,-0.376427677022361,-0.337188569462818
0.5,0.1263487131,-0.249420896556666,-0.436510494075441,-0.465517964222902,-0.368878513972515,-0.44697655219088,-0.469765284018327,-0.420658802812448
1,0.0808376427,-0.275884291634852,-0.501913369044994,-0.537580961010835,-0.418877070626745,-0.514498409906616,-0.542607141194652,-0.482485143881421
1.5,0.1015336713,-0.326870171508759,-0.618281244649522,-0.664037078823575,-0.511395813715414,-0.634527953153381,-0.670557180681913,-0.593260658480221
2,0.2110820372,-0.411876535722551,-0.803264853742159,-0.862816025879436,-0.662594287531312,-0.825286113278048,-0.871909516068826,-0.770249352560038
2.5,0.412438838,-0.506204208294098,-1.00089650187572,-1.07349244611113,-0.827466895293581,-1.02900593604665,-1.08545435187039,-0.960063526210476
3,0.4527763479,-0.533470332254363,-1.05928439191013,-1.135911114209,-0.875710349612866,-1.08922032017384,-1.14872140467253,-1.01603891717603
3.5,0.3527323593,-0.483776066726816,-0.954391428959123,-1.02385782202278,-0.788605352741182,-0.981094031231849,-1.03516894026615,-0.915380706033519
4,0.2400166171,-0.394169262744552,-0.759344366186535,-0.814300811187399,-0.629154440305871,-0.779951137233251,-0.822890064851164,-0.728757623479978
4.5,0.086236332,-0.28841553373916,-0.530147992176351,-0.568057695063963,-0.441570447245955,-0.543630442771396,-0.573474562681831,-0.509411347336506
5,0.0179489903,-0.210103699944497,-0.355734616705131,-0.379538435337916,-0.300957929171325,-0.363755745930268,-0.382631067243783,-0.342955043579364
5.5,0.0068785693,-0.164393177317744,-0.250492795392372,-0.264873942024615,-0.217732958202774,-0.255202851698161,-0.266647587245202,-0.242863599520024
6,0.0033446884,-0.138500773559966,-0.190074830774312,-0.198735126482094,-0.17041426978706,-0.192892687431087,-0.19978992680072,-0.185499302644576
6.5,0.0137017495,-0.124960874607558,-0.15732881614171,-0.162632058532035,-0.145238291540718,-0.159110278413934,-0.163316701353385,-0.154508636390317
7,-0.0089992819,-0.112235972695191,-0.129562762282998,-0.132592641076609,-0.122739434006852,-0.130498101603468,-0.132926566969748,-0.127981084729316
7.5,0.0082573413,-0.109699636791353,-0.121896544545537,-0.123814465083162,-0.117459739062928,-0.122576270493973,-0.124086676949613,-0.120858076709492
8,0.0098487165,-0.105935558902012,-0.112812994990964,-0.113784603751992,-0.1104892020972,-0.113207979476585,-0.113957524842989,-0.112264205402421
8.5,-0.0009849708,-0.0988409782127829,-0.0974001096275977,-0.0971891771151498,-0.0979133850154912,-0.0973186285507487,-0.0971544219787445,-0.0975213245561119
9,-0.0090116358,-0.0918721710308726,-0.0821614307168848,-0.0807983144178277,-0.0854870315420651,-0.0816030991099617,-0.080552469382506,-0.0829473148922057
9.5,-0.0198298317,-0.0864106666133045,-0.0706217102605148,-0.068470477895266,-0.0759077783755514,-0.0697072782179255,-0.0680594641872163,-0.0718742981142811
